Id,Reported_Operator,Operator,Bloomberg_Ticker,Short_Ticker,Public_Private_Company,InjectionOperatorType
614300,BURLINGTON RESOURCES OIL & GAS COMPANY LP,ConocoPhillips,COP US,COP,Public Company,E&P
617481,PETROSHALE (US) INC.,PetroShale,PSH CN,PSH,Public Company,E&P
618184,OASIS PETROLEUM NORTH AMERICA LLC,Oasis Petroleum,OAS US,OAS,Public Company,E&P
619248,"SHD OIL & GAS, LLC","SHD Oil and Gas, LLC",No Ticker,No Ticker,Private Company,E&P
619903,"ZAVANNA, LLC",Zavanna LLC,No Ticker,No Ticker,Private Company,E&P
625924,"PETRO-HUNT DAKOTA, LLC",Petro-Hunt LLC,No Ticker,No Ticker,Private Company,E&P
626171,"MISSOURI RIVER RESOURCES ND, LLC",Missouri River Royalty Corporation,No Ticker,No Ticker,Private Company,E&P
626294,"PETRO-HUNT, L.L.C.",Petro-Hunt LLC,No Ticker,No Ticker,Private Company,E&P
627138,WHITING OIL AND GAS CORPORATION,Whiting Petroleum,WLL US,WLL,Public Company,E&P
635811,"IRON OIL OPERATING, LLC",Iron Oil,No Ticker,No Ticker,Private Company,E&P
637866,ABRAXAS PETROLEUM CORP.,Abraxas Petroleum,AXAS US,AXAS,Public Company,E&P
639532,"EOG RESOURCES, INC.",EOG Resources,EOG US,EOG,Public Company,E&P
640146,"HESS BAKKEN INVESTMENTS II, LLC",Hess,HES US,HES,Public Company,E&P
643846,XTO ENERGY INC,ExxonMobil,XOM US,XOM,Supermajor,E&P
656377,"Grayson Mill Operating, LLC",Grayson Mill Energy,No Ticker,No Ticker,Private Company,E&P
658565,"Prima Exploration, Inc.",Prima Exploration,No Ticker,No Ticker,Private Company,E&P
630929,SINCLAIR OIL & GAS COMPANY,Sinclair,No Ticker,No Ticker,Private Company,E&P
634291,Cobra Oil & Gas Corporation,Cobra Oil & Gas Corporation,No Ticker,No Ticker,Private Company,E&P
642491,Ovintiv Production Inc.,Ovintiv,OVV US,OVV,Public Company,E&P
661195,QEP ENERGY COMPANY,Oasis Petroleum,OAS US,OAS,Public Company,E&P
645616,ENERPLUS RESOURCES USA CORPORATION,Enerplus Corporation,ERF CN,ERF,Public Company,E&P
620171,"WHITE BUTTE OIL OPERATIONS, LLC","White Butte Oil Operations, LLC",No Ticker,No Ticker,Private Company,E&P
625098,MARATHON OIL COMPANY,Marathon Oil,MRO US,MRO,Public Company,E&P
627998,TRUE OIL LLC,True Oil Company,No Ticker,No Ticker,Private Company,E&P
630090,"NORTH RANGE RESOURCES, LLC",North Range Resources,No Ticker,No Ticker,Private Company,E&P
631982,"WPX ENERGY WILLISTON, LLC",Devon Energy,DVN US,DVN,Public Company,E&P
661507,Bowline Energy LLC,Bowline Energy,No Ticker,No Ticker,Private Company,E&P
639224,"CONTINENTAL RESOURCES, INC.",Continental Resources,CLR US,CLR,Public Company,E&P
